date_key,full_date,year,month,month_name,day_of_month,weekday,weekday_name,week_number,season,is_weekend
20240501,2024-05-01,2024,5,May,1,3,Wednesday,18,Spring,0
20240502,2024-05-02,2024,5,May,2,4,Thursday,18,Spring,0
20240503,2024-05-03,2024,5,May,3,5,Friday,18,Spring,0
20240504,2024-05-04,2024,5,May,4,6,Saturday,18,Spring,1
20240505,2024-05-05,2024,5,May,5,7,Sunday,18,Spring,1
20240506,2024-05-06,2024,5,May,6,1,Monday,19,Spring,0
20240507,2024-05-07,2024,5,May,7,2,Tuesday,19,Spring,0
20240508,2024-05-08,2024,5,May,8,3,Wednesday,19,Spring,0
20240509,2024-05-09,2024,5,May,9,4,Thursday,19,Spring,0
20240510,2024-05-10,2024,5,May,10,5,Friday,19,Spring,0
20240511,2024-05-11,2024,5,May,11,6,Saturday,19,Spring,1
20240512,2024-05-12,2024,5,May,12,7,Sunday,19,Spring,1
20240513,2024-05-13,2024,5,May,13,1,Monday,20,Spring,0
20240514,2024-05-14,2024,5,May,14,2,Tuesday,20,Spring,0
20240515,2024-05-15,2024,5,May,15,3,Wednesday,20,Spring,0
20240516,2024-05-16,2024,5,May,16,4,Thursday,20,Spring,0
20240517,2024-05-17,2024,5,May,17,5,Friday,20,Spring,0
20240518,2024-05-18,2024,5,May,18,6,Saturday,20,Spring,1
20240519,2024-05-19,2024,5,May,19,7,Sunday,20,Spring,1
20240520,2024-05-20,2024,5,May,20,1,Monday,21,Spring,0
20240521,2024-05-21,2024,5,May,21,2,Tuesday,21,Spring,0
20240522,2024-05-22,2024,5,May,22,3,Wednesday,21,Spring,0
20240523,2024-05-23,2024,5,May,23,4,Thursday,21,Spring,0
20240524,2024-05-24,2024,5,May,24,5,Friday,21,Spring,0
20240525,2024-05-25,2024,5,May,25,6,Saturday,21,Spring,1
20240526,2024-05-26,2024,5,May,26,7,Sunday,21,Spring,1
20240527,2024-05-27,2024,5,May,27,1,Monday,22,Spring,0
20240528,2024-05-28,2024,5,May,28,2,Tuesday,22,Spring,0
20240529,2024-05-29,2024,5,May,29,3,Wednesday,22,Spring,0
20240530,2024-05-30,2024,5,May,30,4,Thursday,22,Spring,0
20240531,2024-05-31,2024,5,May,31,5,Friday,22,Spring,0
